3 Bion | Vitamin B1, B6 & B12 | Tablet | 100 mg+200 mg+200 mcg | Jenphar Bangladesh Ltd.
Arixon | Ceftriaxone Sodium | IV Injection | 500 mg/vial | Beximco Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IV Injection | 250 mg/vial | Beximco Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IM Injection | 1 gm/vial | Beximco Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IV Injection | 2 gm/vial | Beximco Pharmaceuticals Ltd.
Arixon | Ceftriaxone Sodium | IM Injection | 250 mg/vial | Beximco Pharmaceuticals Ltd.
Arizith | Azithromycin Dihydrate | Tablet | 500 mg | Centeon Pharma Ltd.
Arlin | Linezolid | IV Infusion | 2 mg/ml | Beximco Pharmaceuticals Ltd.
Arlin | Linezolid | Tablet | 400 mg | Beximco Pharmaceuticals Ltd.
Arlin | Linezolid | Powder for Suspension | 100 mg/5 ml | Beximco Pharmaceuticals Ltd.
Arlin | Linezolid | Tablet | 600 mg | Beximco Pharmaceuticals Ltd.
Armoda | Armodafinil | Tablet | 250 mg | ACI Limited
Armoda | Armodafinil | Tablet | 150 mg | ACI Limited
Arnac | Aceclofenac | Tablet | 100 mg | Arges Life Science Limited
Arnigen | Sacubitril + Valsartan | Tablet | 97 mg+103 mg | General Pharmaceuticals Ltd.
Arnigen | Sacubitril + Valsartan | Tablet | 49 mg+51 mg | General Pharmaceuticals Ltd.
Arnigen | Sacubitril + Valsartan | Tablet | 24 mg+26 mg | General Pharmaceuticals Ltd.
Arocaine-A DC | Articaine Hydrochloride + Epinephrine | Injection | 4%+0.001% | Jayson Pharmaceuticals Ltd.
Arocef | Cefadroxil Monohydrate | Powder for Suspension | 125 mg/5 ml | Eskayef Pharmaceuticals Ltd.
Arocef | Cefadroxil Monohydrate | Capsule | 500 mg | Eskayef Pharmaceuticals Ltd.
Arocef | Cefadroxil Monohydrate | Pediatric Drops | 125 mg/1.25 ml | Eskayef Pharmaceuticals Ltd.
Arodex | Anastrozole | Tablet | 1 mg | Techno Drugs Ltd.
Arodin | Povidone Iodine | Mouthwash | 1% w/v | Aristopharma Ltd.
Arodin | Povidone Iodine | Ointment | 5% w/w | Aristopharma Ltd.
Arodin | Povidone Iodine | Solution | 10% w/v | Aristopharma Ltd.
Arofil SR | Theophylline | Tablet (Sustained Release) | 300 mg | Incepta Pharmaceuticals Ltd.
Arofil SR | Theophylline | Tablet (Sustained Release) | 400 mg | Incepta Pharmaceuticals Ltd.
Arofil SR | Theophylline | Tablet (Sustained Release) | 200 mg | Incepta Pharmaceuticals Ltd.
Aroflo | Salmeterol + Fluticasone Propionate | Inhaler | (25 mcg+250 mcg)/puff | Aristopharma Ltd.
Aroflo | Salmeterol + Fluticasone Propionate | Inhaler | (25 mcg+125 mcg)/puff | Aristopharma Ltd.
Aroflo | Salmeterol + Fluticasone Propionate | Inhalation Capsule | 50 mcg+250 mcg | Aristopharma Ltd.
Aroflo | Salmeterol + Fluticasone Propionate | Inhalation Capsule | 50 mcg+100 mcg | Aristopharma Ltd.
Aroflo | Salmeterol + Fluticasone Propionate | Inhalation Capsule | 50 mcg+500 mcg | Aristopharma Ltd.
Arofrez | Letrozole | Tablet | 2.5 mg | Healthcare Pharmaceuticals Ltd.
AroHelar | Inhaler device | Inhaler |  | Aristopharma Ltd.
Arokast | Montelukast Sodium | Chewable Tablet | 4 mg | Navana Pharmaceuticals Ltd.
Arokast | Montelukast Sodium | Chewable Tablet | 5 mg | Navana Pharmaceuticals Ltd.
Arokast | Montelukast Sodium | Tablet | 10 mg | Navana Pharmaceuticals Ltd.
Arokast FT | Montelukast Sodium | Flash Tablet | 5 mg | Navana Pharmaceuticals Ltd.
Arokast FT | Montelukast Sodium | Flash Tablet | 4 mg | Navana Pharmaceuticals Ltd.
Arolak | Ketorolac Tromethamine | IM/IV Injection | 10 mg/ml | Ambee Pharmaceuticals Ltd.
Arolak | Ketorolac Tromethamine | IM/IV Injection | 30 mg/ml | Ambee Pharmaceuticals Ltd.
Arolak | Ketorolac Tromethamine | Tablet | 10 mg | Ambee Pharmaceuticals Ltd.
Arolax | Levosalbutamol (Oral) | Tablet | 1 mg | Navana Pharmaceuticals Ltd.
Arolax | Levosalbutamol (Oral) | Syrup | 1 mg/5 ml | Navana Pharmaceuticals Ltd.
Arolax | Levosalbutamol (Oral) | Tablet | 2 mg | Navana Pharmaceuticals Ltd.
Aromasin | Exemestane | Tablet | 25 mg | Janata Traders
Aromatin | Anastrozole | Tablet | 1 mg | Aristopharma Ltd.
Aroneb | Arformoterol Tartrate | Respirator Solution | 15 mcg/2 ml | Incepta Pharmaceuticals Ltd.
Aronem | Meropenem Trihydrate | IV Injection or Infusion | 500 mg/vial | ACI Limited
Aronem | Meropenem Trihydrate | IV Injection or Infusion | 1 gm/vial | ACI Limited
Aropen | Meropenem Trihydrate | IV Injection or Infusion | 500 mg/vial | Aristopharma Ltd.
Aropen | Meropenem Trihydrate | IV Injection or Infusion | 1 gm/vial | Aristopharma Ltd.
Axeclav | Cefuroxime Axetil + Clavulanic Acid | Powder for Suspension | (125 mg+31.25 mg)/5 ml | Alco Pharma Ltd.
Axeclav | Cefuroxime Axetil + Clavulanic Acid | Tablet | 500 mg+125 mg | Alco Pharma Ltd.
Axeclav | Cefuroxime Axetil + Clavulanic Acid | Tablet | 250 mg+62.5 mg | Alco Pharma Ltd.
Axefur | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Amulet Pharmaceuticals Ltd.
Axefur | Cefuroxime Axetil | Tablet | 250 mg | Amulet Pharmaceuticals Ltd.
Axefur | Cefuroxime Axetil | Tablet | 500 mg | Amulet Pharmaceuticals Ltd.
Axepime | Cefepime Hydrochloride | IM/IV Injection | 1 gm/vial | Euro Pharma Ltd.
Axet | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Orion Pharma Ltd.
Axet | Cefuroxime Axetil | Tablet | 125 mg | Orion Pharma Ltd.
Axet | Cefuroxime Axetil | IM/IV Injection | 750 mg/vial | Orion Pharma Ltd.
Axet | Cefuroxime Axetil | Tablet | 500 mg | Orion Pharma Ltd.
Axet | Cefuroxime Axetil | Tablet | 250 mg | Orion Pharma Ltd.
Axetil | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Alco Pharma Ltd.
Axetil | Cefuroxime Axetil | Tablet | 500 mg | Alco Pharma Ltd.
Axetil | Cefuroxime Axetil | Tablet | 125 mg | Alco Pharma Ltd.
Axetil | Cefuroxime Axetil | Tablet | 250 mg | Alco Pharma Ltd.
Axibid | Cefuroxime Axetil | Tablet | 250 mg | Nuvista Pharma Ltd.
Axibid | Cefuroxime Axetil | Tablet | 500 mg | Nuvista Pharma Ltd.
Axicef | Cefuroxime Axetil | Tablet | 500 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axicef | Cefuroxime Axetil | Tablet | 250 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axicef | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | UniMed UniHealth Pharmaceuticals Ltd.
Axicef Plus | Cefuroxime Axetil + Clavulanic Acid | Powder for Suspension | (125 mg+31.25 mg)/5 ml | UniMed UniHealth Pharmaceuticals Ltd.
Axicef Plus | Cefuroxime Axetil + Clavulanic Acid | Tablet | 500 mg+125 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axicef Plus | Cefuroxime Axetil + Clavulanic Acid | Tablet | 250 mg+62.5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axidin | Famotidine | Tablet | 40 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axidin | Famotidine | Tablet | 20 mg | UniMed UniHealth Pharmaceuticals Ltd.
Axim | Cefuroxime Axetil | Tablet | 250 mg | Aristopharma Ltd.
Axim | Cefuroxime Axetil | IV Injection | 1.5 gm/vial | Aristopharma Ltd.
Axim | Cefuroxime Axetil | IM/IV Injection | 750 mg/vial | Aristopharma Ltd.
Axim | Cefuroxime Axetil | Powder for Suspension | 125 mg/5 ml | Aristopharma Ltd.
Carboplatin Hexal | Carboplatin | IV Infusion | 10 mg/ml | SANDOZ (A Novartis Division)
Carboplatin PhaRes | Carboplatin | IV Infusion | 10 mg/ml | ZAS Corporation
Carboten DS | Carbocisteine | Syrup | 250 mg/5 ml | Amico Laboratories Ltd.
Carbotin | Carboplatin | IV Infusion | 10 mg/ml | Techno Drugs Ltd.
Carbotor | Carboplatin | IV Infusion | 10 mg/ml | Eskayef Pharmaceuticals Ltd.
Carceva | Clopidogrel Bisulphate | Tablet | 75 mg | NIPRO JMI Pharma Ltd.
Carceva Plus | Clopidogrel + Aspirin | Tablet | 75 mg+75 mg | NIPRO JMI Pharma Ltd.
Cardex | Carvedilol | Tablet | 3.125 mg | Opsonin Pharma Ltd.
Cardex | Carvedilol | Tablet | 6.25 mg | Opsonin Pharma Ltd.
Cardex | Carvedilol | Tablet | 12.5 mg | Opsonin Pharma Ltd.
Cardiben-D | Calcium Carbonate [Elemental source] + Vitamin D3 | Tablet | 500 mg+200 IU | Bengal drugs Ltd.
Cardicam | Bisoprolol Hemifumarate | Tablet | 5 mg | Belsen Pharmaceuticals Ltd.
Cardicam | Bisoprolol Hemifumarate | Tablet | 2.5 mg | Belsen Pharmaceuticals Ltd.
Cardicil | Cilnidipine | Tablet | 10 mg | Radiant Pharmaceuticals Ltd.
Cardicil | Cilnidipine | Tablet | 5 mg | Radiant Pharmaceuticals Ltd.
Cardicor | Bisoprolol Hemifumarate | Tablet | 2.5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Cardicor | Bisoprolol Hemifumarate | Tablet | 5 mg | UniMed UniHealth Pharmaceuticals Ltd.
Cardifort | Amlodipine Besilate | Tablet | 5 mg | Nuvista Pharma Ltd.
Cardifort Plus | Amlodipine Besilate + Atenolol | Tablet | 5 mg+25 mg | Nuvista Pharma Ltd.
Cardifort Plus | Amlodipine Besilate + Atenolol | Tablet | 5 mg+50 mg | Nuvista Pharma Ltd.
Cardil | Diltiazem Hydrochloride | Tablet | 60 mg | Ibn Sina Pharmaceuticals Ltd.
Cardil | Diltiazem Hydrochloride | Tablet | 30 mg | Ibn Sina Pharmaceuticals Ltd.
Cardilock | Atenolol | Tablet | 50 mg | Alco Pharma Ltd.
Cardimet MR | Trimetazidine Dihydrochloride | Tablet (Modified Release) | 35 mg | Eskayef Pharmaceuticals Ltd.
Cardinex | Enoxaparin Sodium | SC Injection | 6000 Anti-Xa IU/0.6 ml | Drug International Ltd.
Cardinex | Enoxaparin Sodium | SC Injection | 4000 Anti-Xa IU/0.4 ml | Drug International Ltd.
Cardinex | Enoxaparin Sodium | SC Injection | 8000 Anti-Xa IU/0.8 ml | Drug International Ltd.
Cardinor | Bisoprolol Hemifumarate | Tablet | 2.5 mg | Labaid Pharma Ltd.
Cardinor | Bisoprolol Hemifumarate | Tablet | 5 mg | Labaid Pharma Ltd.
Cardinor Plus | Bisoprolol Fumarate + Hydrochlorothiazide | Tablet | 5 mg+6.25 mg | Labaid Pharma Ltd.
Clopirox | Ciclopirox Olamine (Cream) | Cream | 1% | Square Pharmaceuticals Ltd.
Clopixol | Zuclopenthixol | Tablet | 10 mg | Lundbeck Pharmaceuticals Ltd.
Clopixol Acuphase | Zuclopenthixol | Injection | 50 mg/ml | Lundbeck Pharmaceuticals Ltd.
Clopixol Depot | Zuclopenthixol | Injection | 200 mg/ml | Lundbeck Pharmaceuticals Ltd.
Cloplet | Clopidogrel Bisulphate | Tablet | 75 mg | Nuvista Pharma Ltd.
Clopramin | Clomipramine Hydrochloride | Tablet | 25 mg | Incepta Pharmaceuticals Ltd.
Cloradex | Dexamethasone + Chloramphenicol | Ophthalmic Solution | 0.1%+0.5% | Navana Pharmaceuticals Ltd.
Cloram | Chloramphenicol (Ophthalmic) | Ophthalmic Ointment | 1% | Ibn Sina Pharmaceuticals Ltd.
Cloram | Chloramphenicol (Ophthalmic) | Ophthalmic Solution | 0.5% | Ibn Sina Pharmaceuticals Ltd.
Cloram-D | Dexamethasone + Chloramphenicol | Ophthalmic Solution | 0.1%+0.5% | Ibn Sina Pharmaceuticals Ltd.
Cloramin | Chlorpheniramine Maleate | Syrup | 2 mg/5 ml | Orion Pharma Ltd.
Clorel | Clopidogrel Bisulphate | Tablet | 75 mg | ACI Limited
Clorel-A | Clopidogrel + Aspirin | Tablet | 75 mg+75 mg | ACI Limited
Clori HC | Clotrimazole + Hydrocortisone | Cream | 1%+1% | Amulet Pharmaceuticals Ltd.
Clorocef | Cefaclor Monohydrate | Powder for Suspension | 125 mg/5 ml | Ibn Sina Pharmaceuticals Ltd.
Clorocef | Cefaclor Monohydrate | Capsule | 250 mg | Ibn Sina Pharmaceuticals Ltd.
Clorocef | Cefaclor Monohydrate | Pediatric Drops | 125 mg/1.25 ml | Ibn Sina Pharmaceuticals Ltd.
Clorocef | Cefaclor Monohydrate | Capsule | 500 mg | Ibn Sina Pharmaceuticals Ltd.
Cloron | Clonazepam | Tablet | 0.5 mg | Eskayef Pharmaceuticals Ltd.
Cloron | Clonazepam | Tablet | 1 mg | Eskayef Pharmaceuticals Ltd.
Cloron | Clonazepam | Tablet | 2 mg | Eskayef Pharmaceuticals Ltd.
Cloron | Clonazepam | Pediatric Drops | 2.5 mg/ml | Eskayef Pharmaceuticals Ltd.
Clortha | Chlorthalidone | Tablet | 25 mg | ACI Limited
Clortha | Chlorthalidone | Tablet | 15 mg | ACI Limited
Closalic | Clobetasol Propionate + Salicylic Acid | Ointment | 0.05%+3% | Ziska Pharmaceuticals Ltd.
Closon | Betamethasone + Clotrimazole | Cream | 0.05%+1% | Medicon Pharmaceuticals Ltd.
Closten | Clotrimazole (Topical) | Cream | 1% | Alco Pharma Ltd.
Clotech | Sodium Hypochlorite | Solution | 500 mg/100 ml | Opso Saline Limited
Clotinex | Enoxaparin Sodium | SC Injection | 8000 Anti-Xa IU/0.8 ml | Square Pharmaceuticals Ltd.
Clotinex | Enoxaparin Sodium | SC Injection | 6000 Anti-Xa IU/0.6 ml | Square Pharmaceuticals Ltd.
Diclon | Diclofenac Sodium (Ophthalmic) | Ophthalmic Solution | 0.1% | Reman Drug Laboratories Ltd.
Diclon | Diclofenac Sodium (Ophthalmic) | Ophthalmic Solution | 0.1% | Central Pharmaceuticals Ltd.
Diclon SR | Diclofenac Sodium | Tablet (Sustained Release) | 100 mg | Central Pharmaceuticals Ltd.
Diclonac | Diclofenac Sodium | IM Injection | 75 mg/3 ml | Ziska Pharmaceuticals Ltd.
Diclonac Plus | Diclofenac Sodium + Lidocaine Hydrochloride | IM Injection | (75 mg+20 mg)/2 ml | Ziska Pharmaceuticals Ltd.
Diclonac TR | Diclofenac Sodium | Capsule (Timed Release) | 100 mg | Ziska Pharmaceuticals Ltd.
Diclonil | Diclofenac Sodium | Tablet | 50 mg | Zenith Pharmaceuticals Ltd.
Diclonil SR | Diclofenac Sodium | Capsule (Sustained Release) | 100 mg | Zenith Pharmaceuticals Ltd.
Diclorex | Diclofenac Sodium | Tablet | 25 mg | Medimet Pharmaceuticals Ltd.
Diclorex | Diclofenac Sodium | Tablet | 50 mg | Medimet Pharmaceuticals Ltd.
Diclorex | Diclofenac Sodium | IM Injection | 75 mg/3 ml | Medimet Pharmaceuticals Ltd.
Diclorex RTD | Diclofenac Sodium | Retard Tablet | 100 mg | Medimet Pharmaceuticals Ltd.
Diclovir | Diclofenac Sodium | Tablet | 50 mg | Virgo Pharmaceuticals Ltd.
Diclovir SR | Diclofenac Sodium | Capsule (Sustained Release) | 100 mg | Virgo Pharmaceuticals Ltd.
Dicon | Glibenclamide | Tablet | 5 mg | Jayson Pharmaceuticals Ltd.
Diconten | Flupentixol + Melitracen | Tablet | 0.5 mg+10 mg | Drug International Ltd.
Dicot | Econazole Nitrate + Triamcinolone Acetonide | Cream | 1%+0.1% | Drug International Ltd.
Didryl | Diphenhydramine Hydrochloride | Syrup | 10 mg/5 ml | Gaco Pharmaceuticals Ltd.
Dieta | Glimepiride | Tablet | 1 mg | Pacific Pharmaceuticals Ltd.
Dieta | Glimepiride | Tablet | 2 mg | Pacific Pharmaceuticals Ltd.
Dieta | Glimepiride | Tablet | 3 mg | Pacific Pharmaceuticals Ltd.
Dieta | Glimepiride | Tablet | 4 mg | Pacific Pharmaceuticals Ltd.
Dieta M | Glimepiride + Metformin | Tablet (Extended Release) | 1 mg+500 mg | Pacific Pharmaceuticals Ltd.
Dieta Plus | Pioglitazone + Glimepiride | Tablet | 30 mg+2 mg | Pacific Pharmaceuticals Ltd.
Dieta Plus | Pioglitazone + Glimepiride | Tablet | 30 mg+4 mg | Pacific Pharmaceuticals Ltd.
Dietil | Orlistat | Capsule | 120 mg | Eskayef Pharmaceuticals Ltd.
Difenac | Diclofenac Sodium | Tablet | 50 mg | Rephco Pharmaceuticals Ltd.
Difenac Plus | Diclofenac Sodium + Lidocaine Hydrochloride | IM Injection | (75 mg+20 mg)/2 ml | Rephco Pharmaceuticals Ltd.
Difin | Diphenhydramine Hydrochloride | Syrup | 10 mg/5 ml | Nipa Pharmaceuticals Ltd.
Difitox | Doxycycline Hydrochloride | Capsule | 100 mg | Al-Madina Pharmaceuticals Ltd.
Foviral | Tenofovir Disoproxil | Tablet | 300 mg | ACI Limited
Fozifol | Ferrous Sulfate + Folic Acid + Zinc Sulfate | Capsule (Timed Release) | 150 mg+0.5 mg+61.8 mg | Euro Pharma Ltd.
Frabex | Tranexamic Acid | IM/IV Injection | 500 mg/5 ml | Square Pharmaceuticals Ltd.
Frabex | Tranexamic Acid | Capsule | 500 mg | Square Pharmaceuticals Ltd.
Fragmin | Dalteparin Sodium | SC Injection | 5000 IU/0.2 ml | Janata Traders
Fragmin | Dalteparin Sodium | SC Injection | 7500 IU/0.3 ml | Janata Traders
Fravir | Favipiravir | Tablet | 200 mg | Orion Pharma Ltd.
Free-breath  (Adult) | Inhaler device | Inhaler |  | ACI Limited
Free-breath  (Child) | Inhaler device | Inhaler |  | ACI Limited
Freecid Plus | Aluminium Hydroxide + Magnesium Hydroxide + Simethicone | Oral Suspension | (200 mg+400 mg+30 mg)/5 ml | Novatek Pharmaceuticals Ltd.
Freecof | Dextromethorphan + Pseudoephedrine + Triprolidine | Syrup | (10 mg+30 mg+1.25 mg)/5 ml | Aristopharma Ltd.
Freedom | Lactic Acid | Topical Solution | 1.2% w/v | ACI Limited
Freegest | Montelukast Sodium | Chewable Tablet | 5 mg | Biopharma Laboratories Ltd.
Freegest | Montelukast Sodium | Chewable Tablet | 4 mg | Biopharma Laboratories Ltd.
Freegest | Montelukast Sodium | Tablet | 10 mg | Biopharma Laboratories Ltd.
Freemax | Aceclofenac | Tablet | 100 mg | Nuvista Pharma Ltd.
Freespa | Tiemonium Methylsulphate | Tablet | 50 mg | Al-Madina Pharmaceuticals Ltd.
FreFast | Methyl Salicylate + Menthol + Camphor | Cream | 30%+10%+4% | Pacific Pharmaceuticals Ltd.
Frelax | Magnesium Hydroxide + Liquid Paraffin | Oral Emulsion | (300 mg+1.25 ml)/5 ml | Beximco Pharmaceuticals Ltd.
Frenia | Risperidone (Oral) | Oral Solution | 1 mg/ml | Incepta Pharmaceuticals Ltd.
Frenia | Risperidone (Oral) | Tablet | 4 mg | Incepta Pharmaceuticals Ltd.
Frenia | Risperidone (Oral) | Tablet | 2 mg | Incepta Pharmaceuticals Ltd.
Frenia | Risperidone (Oral) | Tablet | 1 mg | Incepta Pharmaceuticals Ltd.
Frenvas | Atorvastatin Calcium | Tablet | 20 mg | Radiant Pharmaceuticals Ltd.
Frenvas | Atorvastatin Calcium | Tablet | 10 mg | Radiant Pharmaceuticals Ltd.
Frenvas | Atorvastatin Calcium | Tablet | 40 mg | Radiant Pharmaceuticals Ltd.
Frenxit | Flupentixol + Melitracen | Tablet | 0.5 mg+10 mg | Beximco Pharmaceuticals Ltd.
Fresh | Fluphenazine + Nortriptyline | Tablet | 0.5 mg+10 mg | Nipa Pharmaceuticals Ltd.
Freshair | Doxophylline | Tablet | 400 mg | Pharmasia Limited
Freshair | Doxophylline | Syrup | 100 mg/5 ml | Pharmasia Limited
G-Ceftriax | Ceftriaxone Sodium | IV Injection | 250 mg/vial | Gonoshasthaya Pharma Ltd.
G-Ceftriax | Ceftriaxone Sodium | IV Injection | 500 mg/vial | Gonoshasthaya Pharma Ltd.
G-Ceftriax | Ceftriaxone Sodium | IV Injection | 1 gm/vial | Gonoshasthaya Pharma Ltd.
G-Cetirizine | Cetirizine Hydrochloride | Syrup | 5 mg/5 ml | Gonoshasthaya Pharma Ltd.
G-Cetirizine | Cetirizine Hydrochloride | Tablet | 10 mg | Gonoshasthaya Pharma Ltd.
G-Chloramphenicol | Chloramphenicol (Ophthalmic) | Ophthalmic Ointment | 1% | Gonoshasthaya Pharma Ltd.
G-Chloramphenicol | Chloramphenicol (Ophthalmic) | Ophthalmic Solution | 0.5% | Gonoshasthaya Pharma Ltd.
G-Chloroquine | Chloroquine Phosphate | Tablet | 250 mg | Gonoshasthaya Pharma Ltd.
G-Chloroquine | Chloroquine Phosphate | Syrup | 80 mg/5 ml | Gonoshasthaya Pharma Ltd.
G-Cipro | Ciprofloxacin | IV Infusion | 200 mg/100 ml | Gonoshasthaya Pharma Ltd.
G-Cipro | Ciprofloxacin | Tablet | 500 mg | Gonoshasthaya Pharma Ltd.
G-Cipro | Ciprofloxacin (Ophthalmic) | Ophthalmic Solution | 0.3% | Gonoshasthaya Pharma Ltd.
G-Cloxacillin | Cloxacillin Sodium | Capsule | 500 mg | Gonoshasthaya Pharma Ltd.
G-Cloxacillin | Cloxacillin Sodium | Injection | 500 mg/vial | Gonoshasthaya Pharma Ltd.
G-Cloxacillin | Cloxacillin Sodium | Powder for Suspension | 125 mg/5 ml | Gonoshasthaya Pharma Ltd.
G-Co-Aspirin | Clopidogrel + Aspirin | Tablet | 75 mg+75 mg | Gonoshasthaya Pharma Ltd.
G-Con | Oxymetazoline Hydrochloride (Nasal Preparation) | Nasal Drop | 0.05% | Kemiko Pharmaceuticals Ltd.
G-Con | Oxymetazoline Hydrochloride (Nasal Preparation) | Nasal Drop | 0.025% | Kemiko Pharmaceuticals Ltd.
G-Cotrimoxazole | Sulphamethoxazole + Trimethoprim | Tablet | 400 mg+80 mg | Gonoshasthaya Pharma Ltd.
G-Cotrimoxazole | Sulphamethoxazole + Trimethoprim | Oral Suspension | (200 mg+40 mg)/5 ml | Gonoshasthaya Pharma Ltd.
G-Cromo | Sodium Cromoglicate [2%] | Ophthalmic Solution | 2% | Gonoshasthaya Pharma Ltd.
G-Dexamethasone | Dexamethasone | IM/IV Injection | 4 mg/ml | Gonoshasthaya Pharma Ltd.
G-Diazepam | Diazepam | Tablet | 5 mg | Gonoshasthaya Pharma Ltd.
G-Diazepam | Diazepam | IM/IV Injection | 10 mg/2 ml | Gonoshasthaya Pharma Ltd.
G-Diclofenac | Diclofenac Sodium | Tablet | 50 mg | Gonoshasthaya Pharma Ltd.
G-Diclofenac | Diclofenac Sodium | IM Injection | 75 mg/3 ml | Gonoshasthaya Pharma Ltd.
G-Ephedrine | Ephedrine Hydrochloride | Injection | 25 mg/5 ml | Gonoshasthaya Pharma Ltd.
G-Ergometrine | Ergometrine Maleate | Injection | 0.2 mg/ml | Gonoshasthaya Pharma Ltd.
G-Ergometrine | Ergometrine Maleate | Tablet | 0.125 mg | Gonoshasthaya Pharma Ltd.
G-Ferric | Ferric Carboxymaltose | IV Injection or Infusion | 500 mg/10 ml | Gonoshasthaya Pharma Ltd.
Glucon | Glibenclamide | Tablet | 5 mg | Opsonin Pharma Ltd.
Gluconil | Glibenclamide | Tablet | 5 mg | ACME Laboratories Ltd.
Gluconor | Glimepiride | Tablet | 1 mg | Aristopharma Ltd.
Gluconor | Glimepiride | Tablet | 2 mg | Aristopharma Ltd.
Glucorid | Glimepiride | Tablet | 2 mg | Biopharma Laboratories Ltd.
Glucorid | Glimepiride | Tablet | 1 mg | Biopharma Laboratories Ltd.
Glucort | Hydrocortisone | IM/IV Injection | 100 mg/2 ml | Globe Pharmaceuticals Ltd.
Glucosal | Sodium Chloride + Dextrose | IV Infusion | 0.9%+5% | Popular Pharmaceuticals Ltd.
Glucose Saline | Sodium Chloride + Dextrose | IV Infusion | 0.9%+5% | Institute of Public Health (IPH)
Glucose-based Oral Saline-i | Oral rehydration salt [glucose based] | Oral Powder | 10.25 gm | EMCS Pharma Limited (An enterprise of ICDDR,B EMCS LTD)
Glucostat | Gliclazide | Tablet | 80 mg | Biopharma Laboratories Ltd.
Glucostat MR | Gliclazide | Tablet (Modified Release) | 60 mg | Biopharma Laboratories Ltd.
Glucotin Max | Glucosamine Sulfate + Diacerein | Tablet | 750 mg+50 mg | Drug International Ltd.
Glucotin Plus | Glucosamine Sulfate + Chondroitin | Tablet | 250 mg+200 mg | Drug International Ltd.
Glucovis | Betaxolol Hydrochloride | Ophthalmic Solution | 0.25% | Beximco Pharmaceuticals Ltd.
Glucozid | Gliclazide | Tablet | 80 mg | Aristopharma Ltd.
Glucozid MR | Gliclazide | Tablet (Modified Release) | 60 mg | Aristopharma Ltd.
Glucozid MR | Gliclazide | Tablet (Modified Release) | 30 mg | Aristopharma Ltd.
Gludex | Dexamethasone (Ophthalmic) | Ophthalmic Solution | 0.1% | Kemiko Pharmaceuticals Ltd.
Gludex | Dexamethasone | Tablet | 0.5 mg | Kemiko Pharmaceuticals Ltd.
Gludex | Dexamethasone | IM/IV Injection | 5 mg/ml | Kemiko Pharmaceuticals Ltd.
Glumol | Timolol Maleate | Ophthalmic Solution | 0.5% | Globe Pharmaceuticals Ltd.
Glumol Plus | Brimonidine Tartrate + Timolol Maleate | Ophthalmic Solution | 0.2%+0.5% | Globe Pharmaceuticals Ltd.
Glunor | Metformin Hydrochloride | Tablet | 850 mg | Eskayef Pharmaceuticals Ltd.
Glunor | Metformin Hydrochloride | Tablet | 500 mg | Eskayef Pharmaceuticals Ltd.
Glunor OD | Metformin Hydrochloride | OROS Tablet | 500 mg | Eskayef Pharmaceuticals Ltd.
Glunor XR | Metformin Hydrochloride | Tablet (Extended Release) | 500 mg | Eskayef Pharmaceuticals Ltd.
Gluretor | Repaglinide | Tablet | 0.5 mg | Pacific Pharmaceuticals Ltd.
Gluretor | Repaglinide | Tablet | 2 mg | Pacific Pharmaceuticals Ltd.
Gluretor | Repaglinide | Tablet | 1 mg | Pacific Pharmaceuticals Ltd.
Henxit | Flupentixol + Melitracen | Tablet | 0.5 mg+10 mg | Hudson Pharmaceuticals Ltd.
Hepa | Paracetamol | Tablet | 500 mg | Hudson Pharmaceuticals Ltd.
Hepa | Paracetamol | Oral Suspension | 120 mg/5 ml | Hudson Pharmaceuticals Ltd.
Hepa-B | Hepatitis B Vaccine [rDNA] | IM Injection | 10 mcg/0.5 ml | Incepta Pharmaceuticals Ltd.
Hepa-B | Hepatitis B Vaccine [rDNA] | IM Injection | 20 mcg/ml | Incepta Pharmaceuticals Ltd.
Hepa-Plus | Paracetamol + Caffeine | Tablet | 500 mg+65 mg | Hudson Pharmaceuticals Ltd.
Hepaclin | L-Ornithine L-Aspartate | IV Injection | 5 gm/10 ml | Incepta Pharmaceuticals Ltd.
Hepaclin | L-Ornithine L-Aspartate | Oral Powder | 3 gm/sachet | Incepta Pharmaceuticals Ltd.
Hepagurd | L-Ornithine L-Aspartate | Oral Powder | 3 gm/sachet | Beximco Pharmaceuticals Ltd.
Hepalola | L-Ornithine L-Aspartate | Tablet | 550 mg | Total Herbal & Nutraceuticals
HepaMerz | L-Ornithine L-Aspartate + Pancreatin | Tablet | 150 mg+100 mg | Mundipharma (BD) Pvt. Ltd.
HepaMerz | L-Ornithine L-Aspartate | Oral Powder | 5 gm/sachet | Mundipharma (BD) Pvt. Ltd.
